中文名,外文名,别名,国家/地区,类型,主持人,制作公司,首播时间,播出频道,播出时间,导演,播出状态,在线播放平台,届数
1983年中央电视台春节联欢晚会,1983 CCTV Spring Festival Gala,1983央视猪年春晚,['中国大陆'],['文艺晚会'],"['马季', '姜昆', '王景愚', '刘晓庆']",['中国国际电视总公司'],1983年2月12日 20时0分0秒,['中央电视台'],1983年2月12日,"['黄一鹤', '邓在军']",已完结,['央视影音'],第1届
1984年中央电视台春节联欢晚会,1984 CCTV Spring Festival Gala,1984央视鼠年春晚,中国大陆,综艺晚会,"['赵忠祥', '卢静', '黄阿原', '姜昆', '姜黎黎', '陈思思']",['中国国际电视总公司'],1984年2月1日（农历癸亥年十二月三十日）,['中央电视台'],晚20:00,"['黄一鹤', '张淑芬']",已完结,['央视影音、央视网'],第2届
1985年中央电视台春节联欢晚会,1985 CCTV Spring Festival Evening Gala,1985央视牛年春晚,中国大陆,综艺晚会,"['马季', '姜昆', '张瑜', '朱苑宜', '斑斑']",['中国国际电视总公司'],1985年2月19日 20时0分0秒,['中央电视台'],1985年2月19日 20时0分0秒,['黄一鹤'],已完结,"['央视影音', '央视网']",第3届
1986年中央电视台春节联欢晚会,1986 CCTV Spring Festival Gala,1986央视虎年春晚,['中国大陆'],综艺晚会,"['赵忠祥', '王刚', '姜昆', '刘晓庆', '方舒', '顾永菲']",['中国国际电视总公司'],1986年2月8日（农历乙丑年十二月三十日）,['中央电视台'],晚20:00,['黄一鹤'],已完结,['央视影音、央视网'],第4届
1987年中央电视台春节联欢晚会,1987 CCTV Spring Festival Gala,1987央视兔年春晚,中国大陆,综艺晚会,"['李默然', '王刚', '李小玢', '姜昆']",['中国国际电视总公司'],1987年1月28日（农历丙寅年十二月二十九日）,['中央电视台'],晚19:30,['邓在军'],已完结,['央视影音'],第5届
1988年中央电视台春节联欢晚会,1988 CCTV Spring Festival Evening Gala,1988央视龙年春晚,中国大陆,综艺晚会,"['孙道临', '姜昆', '侯耀文', '王刚', '薛飞', '卫华', '鞠萍', '李扬']",['中国国际电视总公司'],1988年2月16日 20时0分0秒,中央电视台,1988年2月16日 20时0分0秒,['邓在军'],已完结,['央视影音、央视网'],第6届
1989年中央电视台春节联欢晚会,1989 CCTV Spring Festival Gala,1989央视蛇年春晚,['中国大陆'],大型综艺晚会,"['李默然', '赵忠祥', '姜昆', '阚丽君']",['中央电视台'],1989年2月5日（农历戊辰年十二月二十九日）,['中央电视台'],晚20:00,"['赵安', '张晓海']",已完结,['央视影音、央视网'],第7届
1990年中央电视台春节联欢晚会,1990 CCTV Spring Festival Gala,1990央视马年春晚,中国大陆,综艺晚会,['赵忠祥'],['中国国际电视总公司'],1990年1月26日（农历己巳年十二月三十日）,['中央电视台'],晚20:00,['黄一鹤'],已完结,['央视影音、央视网'],第8届
1991年中央电视台春节联欢晚会,1991 CCTV Spring Festival Gala,1991央视羊年春晚,中国大陆,大型综艺晚会,"['赵忠祥', '倪萍', '张宏民', '李瑞英']",['中国国际电视总公司'],1991年2月14日（农历庚午年十二月三十日）,['中央电视台'],晚20:00,"['郎昆', '胡淼', '杨东升', '刘铁民']",已完结,['央视影音、央视网'],第9届
1992年中央电视台春节联欢晚会,1992 CCTV Spring Festival Gala,1992央视猴年春晚,中国大陆,大型综艺晚会,"['赵忠祥', '倪萍', '杨澜']",['中国国际电视总公司'],1992年2月3日,['中央电视台'],晚20:00,['赵安'],已完结,央视影音,第10届
